,names,n
0,"('AABY', 'HORMAZABAL')",1
1,"('ABACA', 'BENAVIDES')",1
2,"('ABAD', 'ACUNA')",1
3,"('ABAD', 'ANDRADE')",1
4,"('ABAD', 'ANDRADES')",1
5,"('ABAD', 'ANGUISACA')",1
6,"('ABAD', 'CAMPOS')",1
7,"('ABAD', 'DURAZNO')",1
8,"('ABAD', 'GARCIA')",1
9,"('ABAD', 'HERNANDEZ')",1
10,"('ABAD', 'SALGADO')",1
11,"('ABAD', 'TAMAYO')",1
12,"('ABADI', 'ARAYA')",2
13,"('ABADIA', 'TORRES')",1
14,"('ABAID', 'ARAYA')",1
15,"('ABAITUA', 'AVILA')",1
16,"('ABAITUA', 'PIZARRO')",4
17,"('ABALLAI', 'ARENAS')",1
18,"('ABALLAI', 'URRA')",1
19,"('ABALLAI', 'VALENZUELA')",1
20,"('ABALLAY', 'AGUILAR')",1
21,"('ABALLAY', 'ASTUDILLO')",1
22,"('ABALLAY', 'ESPINOZA')",1
23,"('ABALLAY', 'FAURE')",1
24,"('ABALLAY', 'FIGUEROA')",2
25,"('ABALLAY', 'GONZALEZ')",4
26,"('ABALLAY', 'LEYTON')",1
27,"('ABALLAY', 'MOLINA')",2
28,"('ABALLAY', 'NORIEGA')",1
29,"('ABALLAY', 'TAPIA')",1
30,"('ABALLAY', 'URIBE')",1
31,"('ABALLAY', 'VIDAL')",1
32,"('ABALO', 'DONOSO')",1
33,"('ABALO', 'GONZALEZ')",1
34,"('ABALOS', 'BADILLA')",1
35,"('ABALOS', 'CABRERA')",1
36,"('ABALOS', 'COTAPOS')",2
37,"('ABALOS', 'PONCE')",2
38,"('ABALOS', 'RIQUELME')",1
39,"('ABALOS', 'RODRIGUEZ')",1
40,"('ABALOS', 'SANTIBANEZ')",1
41,"('ABARA', 'CAUSSADE')",2
42,"('ABARA', 'ELIAS')",1
43,"('ABARCA', 'ABARCA')",4
44,"('ABARCA', 'AGUILA')",2
45,"('ABARCA', 'AGUILERA')",3
46,"('ABARCA', 'AGUIRRE')",1
47,"('ABARCA', 'ALARCON')",4
48,"('ABARCA', 'ALCAINO')",1
49,"('ABARCA', 'ALCALDE')",1
50,"('ABARCA', 'ALEGRIA')",3
51,"('ABARCA', 'ALIAGA')",2
52,"('ABARCA', 'ALLES')",1
53,"('ABARCA', 'ALMARZA')",1
54,"('ABARCA', 'ALVAREZ')",5
55,"('ABARCA', 'ANTIQUERA')",1
56,"('ABARCA', 'ARAVENA')",5
57,"('ABARCA', 'ARCE')",2
58,"('ABARCA', 'ARENAS')",2
59,"('ABARCA', 'AVENDANO')",2
60,"('ABARCA', 'BACK')",1
61,"('ABARCA', 'BAEZA')",1
62,"('ABARCA', 'BALCAZAR')",1
63,"('ABARCA', 'BARRA')",1
64,"('ABARCA', 'BARRERA')",2
65,"('ABARCA', 'BASAURE')",1
66,"('ABARCA', 'BEAS')",1
67,"('ABARCA', 'BEIZA')",1
68,"('ABARCA', 'BELLO')",1
69,"('ABARCA', 'BELMAR')",2
