,names,n
0,"('AABY', 'RIOS')",1
1,"('ABALOS', 'CARRASCO')",1
2,"('ABARCA', 'ABARCA')",1
3,"('ABARCA', 'BUGUENO')",1
4,"('ABARCA', 'GONZALEZ')",2
5,"('ABARCA', 'GUERRA')",1
6,"('ABARCA', 'MARTINEZ')",1
7,"('ABARCA', 'MICHEA')",1
8,"('ABARCA', 'PINAZO')",1
9,"('ABARCA', 'VALENZUELA')",1
10,"('ABARCA', 'VILLARROEL')",4
11,"('ABARZA', 'ZAMORA')",1
12,"('ABARZUA', 'MARCHANT')",1
13,"('ABARZUA', 'VERA')",1
14,"('ABDALA', 'ARANCIBIA')",1
15,"('ABDALA', 'CATALAN')",1
16,"('ABELLO', 'ALZAMORA')",1
17,"('ABELLO', 'DURAN')",1
18,"('ABETTLATORRE', 'LIZAMA')",1
19,"('ABLAN', 'CANDIA')",1
20,"('ABRAHAM', 'LARA')",2
21,"('ABRAHAM', 'VALDIVIA')",1
22,"('ABREGO', 'BONILLA')",1
23,"('ABURTO', 'FERNANDEZ')",1
24,"('ABURTO', 'LORCA')",1
25,"('ABURTO', 'ZEPEDA')",1
26,"('ACEITUNO', 'EGANA')",2
27,"('ACEITUNO', 'ROJAS')",1
28,"('ACEITUNO', 'SALINAS')",3
29,"('ACEITUNO', 'USEDO')",1
30,"('ACEVEDO', 'AGUIRRE')",1
31,"('ACEVEDO', 'BRAVO')",1
32,"('ACEVEDO', 'CARPANCHAY')",1
33,"('ACEVEDO', 'CAVIERES')",1
34,"('ACEVEDO', 'CHERME')",2
35,"('ACEVEDO', 'FLORES')",1
36,"('ACEVEDO', 'GAMARRA')",2
37,"('ACEVEDO', 'GUTIERREZ')",1
38,"('ACEVEDO', 'JOFRE')",1
39,"('ACEVEDO', 'MALDONADO')",1
40,"('ACEVEDO', 'MARRE')",1
41,"('ACEVEDO', 'MEDINA')",1
42,"('ACEVEDO', 'MOLINA')",1
43,"('ACEVEDO', 'MOSCOSO')",1
44,"('ACEVEDO', 'PAEZ')",3
45,"('ACEVEDO', 'RODRIGUEZ')",1
46,"('ACEVEDO', 'TORREJON')",1
47,"('ACEVEDO', 'VENEGAS')",1
48,"('ACHEVERRIA', 'RAMOS')",1
49,"('ACHIARDI', 'ERICES')",1
50,"('ACIARES', 'ALVARADO')",2
51,"('ACIARES', 'GONZALEZ')",1
52,"('ACIARES', 'LOPEZ')",1
53,"('ACORI', 'ACORI')",1
54,"('ACORI', 'GODOY')",2
55,"('ACORI', 'HENRIQUEZ')",1
56,"('ACORI', 'LUZA')",1
57,"('ACORI', 'MUNOZ')",2
58,"('ACORI', 'SANTANDER')",1
59,"('ACORIA', 'ROLDAN')",1
60,"('ACOSTA', 'AGUILERA')",1
61,"('ACOSTA', 'ALVARADO')",1
62,"('ACOSTA', 'ARAYA')",1
63,"('ACOSTA', 'CANALES')",1
64,"('ACOSTA', 'CODOCEO')",1
65,"('ACOSTA', 'GARCIA')",1
66,"('ACOSTA', 'GREBE')",1
67,"('ACOSTA', 'GUAMAN')",1
68,"('ACOSTA', 'GUERRA')",1
69,"('ACOSTA', 'HIDALGO')",2
70,"('ACOSTA', 'MORENO')",1
71,"('ACQUAFRESCA', 'LARRONDO')",1
72,"('ACUNA', 'ACUNA')",1
73,"('ACUNA', 'AEDO')",1
74,"('ACUNA', 'ALDAY')",2
75,"('ACUNA', 'ARANA')",1
76,"('ACUNA', 'BUGUENO')",1
77,"('ACUNA', 'CAMANO')",2
78,"('ACUNA', 'CAMUS')",1
79,"('ACUNA', 'CARCAMO')",1
80,"('ACUNA', 'CORREA')",3
81,"('ACUNA', 'CORTEZ')",2
82,"('ACUNA', 'DUBO')",1
83,"('ACUNA', 'GOMEZ')",1
84,"('ACUNA', 'HIDALGO')",1
85,"('ACUNA', 'LEIVA')",1
86,"('ACUNA', 'MAMANI')",1
87,"('ACUNA', 'MARIN')",1
88,"('ACUNA', 'MAUREIRA')",1
89,"('ACUNA', 'MONSALVE')",2
90,"('ACUNA', 'MORALES')",2
91,"('ACUNA', 'MUNIZAGA')",2
92,"('ACUNA', 'OLIVARES')",1
93,"('ACUNA', 'ORTIZ')",2
94,"('ACUNA', 'PENA')",1
95,"('ACUNA', 'PICARTE')",1
96,"('ACUNA', 'POBLETE')",1
97,"('ACUNA', 'PONCE')",1
98,"('ACUNA', 'QUINTERO')",2
99,"('ACUNA', 'QUINTEROS')",1
100,"('ACUNA', 'RIVERA')",1
101,"('ACUNA', 'RIVEROS')",1
102,"('ACUNA', 'ROJAS')",6
103,"('ACUNA', 'SALINAS')",1
104,"('ACUNA', 'SANCHEZ')",2
105,"('ACUNA', 'SOTO')",1
106,"('ACUNA', 'TELLO')",1
107,"('ACUNA', 'VARGAS')",2
108,"('ADAD', 'CASTILLO')",1
109,"('ADAOS', 'BRICENO')",1
110,"('ADAOS', 'CONTRERAS')",1
111,"('ADAOS', 'HUALAMAN')",1
112,"('ADAOS', 'OLGUIN')",1
113,"('ADAOS', 'ORREGO')",3
114,"('ADAOS', 'SANTANDER')",1
115,"('ADAOS', 'VILCA')",1
116,"('ADAOS', 'VIVANCO')",1
117,"('ADAROS', 'ARAYA')",1
118,"('ADAROS', 'ESTATOPULOS')",1
119,"('ADAROS', 'MEDALLA')",1
120,"('ADAROS', 'NARANJO')",1
121,"('ADAROS', 'TORO')",1
122,"('ADAROS', 'VEGA')",1
123,"('ADASME', 'CORTES')",2
124,"('ADONES', 'BASAURE')",1
125,"('ADONES', 'CASTILLO')",1
126,"('ADONES', 'OLIDEN')",1
127,"('ADONES', 'SAEZ')",1
128,"('ADONES', 'TELLO')",2
129,"('ADONES', 'VILLALOBOS')",2
130,"('ADONIS', 'ALDAY')",1
131,"('ADONIS', 'NARANJO')",1
132,"('ADRIAN', 'MORALES')",1
133,"('ADRIAN', 'PEREZ')",1
134,"('ADRIAZOLA', 'GONZALEZ')",2
135,"('ADRIAZOLA', 'ORTIZ')",1
136,"('ADRIAZOLA', 'SEPULVEDA')",1
137,"('AEDO', 'ARENAS')",1
138,"('AEDO', 'CASTRO')",1
139,"('AEDO', 'HERNANDEZ')",1
140,"('AEDO', 'JARA')",3
141,"('AEDO', 'LOBOS')",1
142,"('AEDO', 'PEREZ')",1
143,"('AEDO', 'QUIJON')",1
144,"('AEDO', 'ROA')",1
145,"('AEDO', 'VEGA')",1
146,"('AENISHANSLINS', 'HAMEN')",1
147,"('AGERO', 'CASTILLO')",1
148,"('AGERO', 'VERGARA')",1
149,"('AGHEMIO', 'HERRERA')",1
150,"('AGREDA', 'GONZALEZ')",3
151,"('AGUAD', 'ROJAS')",1
152,"('AGUAYO', 'ADONIS')",1
153,"('AGUAYO', 'AVILA')",1
154,"('AGUAYO', 'CID')",1
155,"('AGUAYO', 'DIAZ')",1
156,"('AGUAYO', 'GODOY')",1
157,"('AGUAYO', 'GUTIERREZ')",1
158,"('AGUAYO', 'JUAREZ')",3
159,"('AGUAYO', 'RIVERA')",1
160,"('AGUAYO', 'ROJAS')",1
161,"('AGUAYO', 'SAGREDO')",1
162,"('AGUDELO', 'MORALES')",1
163,"('AGUERO', 'ESPINDOLA')",1
164,"('AGUERO', 'GARCIA')",1
165,"('AGUERO', 'GONZALEZ')",2
166,"('AGUERO', 'NAREA')",1
167,"('AGUERO', 'ZULETA')",1
168,"('AGUILA', 'AGUILA')",2
169,"('AGUILA', 'BARRAZA')",1
170,"('AGUILA', 'BUSTAMANTE')",1
171,"('AGUILA', 'CABALLERO')",1
172,"('AGUILA', 'GALLARDO')",1
173,"('AGUILA', 'REYES')",2
174,"('AGUILAR', 'AGREDA')",1
175,"('AGUILAR', 'AGUILAR')",2
176,"('AGUILAR', 'ARAYA')",2
177,"('AGUILAR', 'AYAVIRE')",1
178,"('AGUILAR', 'BARRIGA')",1
179,"('AGUILAR', 'BIAGETTI')",1
180,"('AGUILAR', 'BORDONEZ')",1
181,"('AGUILAR', 'BRICENO')",1
182,"('AGUILAR', 'CANTILLANES')",1
183,"('AGUILAR', 'CARVAJAL')",2
184,"('AGUILAR', 'CHUMIOQUE')",1
185,"('AGUILAR', 'DIAZ')",3
186,"('AGUILAR', 'DUARTE')",2
187,"('AGUILAR', 'FUENTES')",1
188,"('AGUILAR', 'GAINZA')",1
189,"('AGUILAR', 'GONZALEZ')",3
190,"('AGUILAR', 'GUERRERO')",1
191,"('AGUILAR', 'GUTIERREZ')",1
192,"('AGUILAR', 'HENRIQUEZ')",1
193,"('AGUILAR', 'HERRERA')",1
194,"('AGUILAR', 'JARA')",1
195,"('AGUILAR', 'LARA')",1
196,"('AGUILAR', 'LEON')",1
197,"('AGUILAR', 'MARTINEZ')",1
198,"('AGUILAR', 'MEDEL')",1
199,"('AGUILAR', 'ORTEGA')",1
200,"('AGUILAR', 'OSSANDON')",1
201,"('AGUILAR', 'PAILLACAR')",1
202,"('AGUILAR', 'PATINO')",1
203,"('AGUILAR', 'PORCILE')",1
204,"('AGUILAR', 'REALES')",1
205,"('AGUILAR', 'RODRIGUEZ')",3
206,"('AGUILAR', 'SILVA')",1
207,"('AGUILAR', 'SOTO')",1
208,"('AGUILAR', 'TAPIA')",2
209,"('AGUILAR', 'TELLO')",2
210,"('AGUILAR', 'TORRES')",1
211,"('AGUILAR', 'URREA')",1
212,"('AGUILAR', 'URRUTIA')",1
213,"('AGUILAR', 'VALDIVIA')",1
214,"('AGUILAR', 'VEGA')",2
215,"('AGUILAR', 'VELIZ')",1
216,"('AGUILAR', 'VELOSO')",1
217,"('AGUILERA', 'ABARCA')",1
218,"('AGUILERA', 'ABURTO')",1
219,"('AGUILERA', 'ACUNA')",1
220,"('AGUILERA', 'ALCARRUZ')",1
221,"('AGUILERA', 'ALVARADO')",1
222,"('AGUILERA', 'ALVAREZ')",1
223,"('AGUILERA', 'BARREDA')",3
224,"('AGUILERA', 'BAZAN')",1
225,"('AGUILERA', 'BECERRA')",1
226,"('AGUILERA', 'CABALLERO')",1
227,"('AGUILERA', 'CAIMANQUE')",1
228,"('AGUILERA', 'CAMPOS')",5
229,"('AGUILERA', 'CARMONA')",2
230,"('AGUILERA', 'CARRASCO')",1
231,"('AGUILERA', 'CASTILLO')",2
232,"('AGUILERA', 'CHOPPELO')",2
233,"('AGUILERA', 'CODOCEO')",1
234,"('AGUILERA', 'COLLAO')",2
235,"('AGUILERA', 'CORTES')",2
236,"('AGUILERA', 'DIAZ')",4
237,"('AGUILERA', 'DONAIRE')",1
238,"('AGUILERA', 'FERNANDEZ')",3
239,"('AGUILERA', 'GAHONA')",1
240,"('AGUILERA', 'GARAY')",1
241,"('AGUILERA', 'GARCIA')",3
242,"('AGUILERA', 'GATICA')",1
243,"('AGUILERA', 'GERALDO')",2
244,"('AGUILERA', 'GOMEZ')",1
245,"('AGUILERA', 'GONZALEZ')",2
246,"('AGUILERA', 'GUERRA')",1
247,"('AGUILERA', 'GUERRERO')",2
248,"('AGUILERA', 'GUZMAN')",2
249,"('AGUILERA', 'JOPIA')",1
250,"('AGUILERA', 'JULIO')",2
251,"('AGUILERA', 'LEMA')",1
252,"('AGUILERA', 'LETELIER')",2
253,"('AGUILERA', 'LIENDRO')",1
254,"('AGUILERA', 'LOBOS')",1
255,"('AGUILERA', 'MARTINEZ')",1
256,"('AGUILERA', 'MORALES')",1
257,"('AGUILERA', 'MORENO')",1
258,"('AGUILERA', 'NAVARRETE')",1
259,"('AGUILERA', 'PALMA')",1
260,"('AGUILERA', 'PAYACAN')",1
261,"('AGUILERA', 'PENAILILLO')",1
