,names,n
0,"('ABALAN', 'OSORIO')",1
1,"('ABARCA', 'AYALA')",1
2,"('ABARCA', 'CARDENAS')",2
3,"('ABARCA', 'DELGADO')",1
4,"('ABARCA', 'GARRIDO')",1
5,"('ABARCA', 'GONZALEZ')",2
6,"('ABARCA', 'LEIVA')",1
7,"('ABARCA', 'RIVEROS')",2
8,"('ABARCA', 'VILLEGAS')",1
9,"('ABAROA', 'BAEZ')",1
10,"('ABAROA', 'RODRIGUEZ')",1
11,"('ABARZA', 'LOZANO')",3
12,"('ABARZUA', 'CORTEZ')",1
13,"('ABDO', 'CALVO')",1
14,"('ABELLO', 'BOLADOS')",1
15,"('ABETT DE LA TORRE', 'CACERES')",1
16,"('ABURTO', 'NECULPAN')",1
17,"('ABURTO', 'SEPULVEDA')",1
18,"('ACEVEDO', 'AHUMADA')",1
19,"('ACEVEDO', 'ARANCIBIA')",1
20,"('ACEVEDO', 'BRITO')",1
21,"('ACEVEDO', 'CASTILLO')",1
22,"('ACEVEDO', 'DI LASCIO')",1
23,"('ACEVEDO', 'GAMBOA')",1
24,"('ACEVEDO', 'HUANCA')",1
25,"('ACEVEDO', 'IBANEZ')",2
26,"('ACEVEDO', 'IBARRA')",1
27,"('ACEVEDO', 'MALDONADO')",1
28,"('ACEVEDO', 'MORALES')",1
29,"('ACEVEDO', 'POBLETE')",1
30,"('ACEVEDO', 'RAMIREZ')",2
31,"('ACEVEDO', 'SALAS')",1
32,"('ACEVEDO', 'SOTOMAYOR')",1
33,"('ACEVEDO', 'TAME')",1
34,"('ACEVEDO', 'VERGARA')",1
35,"('ACHILLO', 'BLAS')",1
36,"('ACOSTA', 'ALVAREZ')",1
37,"('ACOSTA', 'LOPEZ')",1
38,"('ACOSTA', 'PONCE')",1
39,"('ACOSTA', 'RIVEROS')",1
40,"('ACOSTA', 'YUCRA')",1
41,"('ACUNA', 'CANO')",1
42,"('ACUNA', 'GAETE')",3
43,"('ACUNA', 'GUERRA')",1
44,"('ACUNA', 'GUERRERO')",1
45,"('ACUNA', 'HUERTA')",1
46,"('ACUNA', 'LE BLANC')",1
47,"('ACUNA', 'LOYOLA')",1
48,"('ACUNA', 'MARTINEZ')",2
49,"('ACUNA', 'RODRIGUEZ')",2
50,"('ACUNA', 'SANCHEZ')",1
51,"('ACUNA', 'SEPULVEDA')",1
52,"('ADARO', 'MORALES')",1
53,"('ADARO', 'MUNOZ')",1
54,"('ADASME', 'OSSANDON')",1
55,"('ADASME', 'QUISPE')",1
56,"('ADONES', 'BARRERA')",2
57,"('ADONES', 'SAAVEDRA')",1
58,"('ADRIAZOLA', 'GORDON')",2
59,"('ADRIAZOLA', 'VILLALOBOS')",1
60,"('AEDO', 'AEDO')",1
61,"('AEDO', 'BURGOS')",1
62,"('AEDO', 'FARIAS')",1
63,"('AEDO', 'MENDOZA')",1
64,"('AEDO', 'MONTEALEGRE')",1
65,"('AGRIANO', 'IMAS')",1
66,"('AGUAYO', 'COLLAO')",1
67,"('AGUAYO', 'MOYA')",1
68,"('AGUAYO', 'ROBLEDO')",1
69,"('AGUAYO', 'TAMSEC')",2
70,"('AGUAYO', 'TIAYNA')",1
71,"('AGUAYO', 'TRUJILLO')",1
72,"('AGUERO', 'TIRADO')",1
73,"('AGUILA', 'CASTILLO')",1
74,"('AGUILA', 'MAGLIONA')",2
75,"('AGUILA', 'PIZARRO')",2
76,"('AGUILA', 'RUZ')",1
77,"('AGUILAR', 'ALIAGA')",1
78,"('AGUILAR', 'DIAZ')",1
79,"('AGUILAR', 'ESPINOZA')",1
80,"('AGUILAR', 'LEON')",1
81,"('AGUILAR', 'LUCERO')",1
82,"('AGUILAR', 'ORREGO')",1
