,names,n
0,"('ABACHE', 'BRAZON')",2
1,"('ABALOS', 'JUAREZ')",1
2,"('ABARCA', 'ALARCON')",1
3,"('ABARCA', 'BUSTOS')",1
4,"('ABARCA', 'ESQUIVEL')",1
5,"('ABARCA', 'MARIN')",1
6,"('ABARCA', 'OLGUIN')",1
7,"('ABARCA', 'VALDERRAMA')",1
8,"('ABARCA', 'VEGA')",1
9,"('ABARCIA', 'JUAREZ')",1
10,"('ABARCIA', 'MANTEROLA')",1
11,"('ABAROA', 'ROJAS')",1
12,"('ABARZUA', 'GAJARDO')",1
13,"('ABBOTT', 'RIVERA')",1
14,"('ABDALA', 'ARAYA')",2
15,"('ABDALAH', 'CONTRERAS')",1
16,"('ABREGO', 'CAMPUSANO')",1
17,"('ABURTO', 'VILLACORTA')",1
18,"('ACEVEDO', 'DIAZ')",1
19,"('ACEVEDO', 'GALARCE')",1
20,"('ACEVEDO', 'GONZALEZ')",2
21,"('ACEVEDO', 'LOPEZ')",2
22,"('ACEVEDO', 'MEINS')",1
23,"('ACEVEDO', 'NUNEZ')",1
24,"('ACEVEDO', 'ROCO')",2
25,"('ACEVEDO', 'RUIZ')",1
26,"('ACEVEDO', 'VALDIVIESO')",2
27,"('ACEVEDO', 'VILDOSOLA')",1
28,"('ACHU', 'ARACENA')",1
29,"('ACHURRA', 'ACHURRA')",1
30,"('ACIAR', 'TAPIA')",1
31,"('ACOSTA', 'CUEVAS')",1
32,"('ACOSTA', 'ESBRY')",1
33,"('ACOSTA', 'FUENTES')",2
34,"('ACOSTA', 'GREBE')",1
35,"('ACOSTA', 'MARIN')",1
36,"('ACOSTA', 'NIEVAS')",2
37,"('ACUNA', 'ALFARO')",1
38,"('ACUNA', 'ARAYA')",1
39,"('ACUNA', 'ASTUDILLO')",1
40,"('ACUNA', 'BARRAZA')",1
41,"('ACUNA', 'CARMONA')",1
42,"('ACUNA', 'GARCIA')",1
43,"('ACUNA', 'HERNANDEZ')",1
44,"('ACUNA', 'MALDONADO')",1
45,"('ACUNA', 'MAUREIRA')",1
46,"('ACUNA', 'PENALILLO')",1
47,"('ACUNA', 'ROJAS')",6
48,"('ACUNA', 'RUIZ')",1
49,"('ACUNA', 'SAAVEDRA')",1
50,"('ACUNA', 'SARRIA')",1
51,"('ACUNA', 'ZEPEDA')",4
52,"('ADAOS', 'CALDERON')",1
53,"('ADAOS', 'OPAZO')",1
54,"('ADARFIO', 'COHEN')",2
55,"('ADARO', 'MARTINEZ')",1
56,"('ADARO', 'ZUMARAN')",1
57,"('ADAROS', 'BARRAZA')",2
58,"('ADAROS', 'ERECHE')",1
59,"('ADAROS', 'IZETA')",1
60,"('ADAROS', 'MARAMBIO')",1
61,"('ADAROS', 'MORGADO')",1
62,"('ADAROS', 'MUNOZ')",2
63,"('ADAROS', 'URZUA')",1
64,"('ADAROS', 'VALLEJOS')",1
65,"('ADASME', 'LEIVA')",2
66,"('ADONE', 'RAMOS')",1
67,"('ADONES', 'AHUMADA')",1
68,"('ADONES', 'RIVERA')",1
69,"('ADONIS', 'DIAZ')",1
70,"('AEDO', 'ALLENDE')",2
71,"('AEDO', 'LAZO')",2
72,"('AEDO', 'ORMENO')",1
73,"('AGERO', 'HERRERA')",1
74,"('AGRONO', 'CAICEDO')",2
75,"('AGUAD', 'PENALOZA')",1
76,"('AGUAYO', 'BELLO')",1
77,"('AGUAYO', 'ROLING')",1
78,"('AGUAYO', 'SAEZ')",1
79,"('AGUERO', 'ACUNA')",1
80,"('AGUERO', 'MARTINEZ')",3
81,"('AGUERO', 'RAMOS')",1
82,"('AGUERO', 'ROMAN')",1
83,"('AGUERO', 'SEPULVEDA')",1
84,"('AGUILA', 'CASTRO')",1
85,"('AGUILA', 'PARRA')",1
86,"('AGUILA', 'ROJAS')",1
87,"('AGUILAR', 'ANGEL')",1
88,"('AGUILAR', 'ARAYA')",1
89,"('AGUILAR', 'ARDILES')",1
90,"('AGUILAR', 'BORDONES')",2
91,"('AGUILAR', 'CARVAJAL')",1
92,"('AGUILAR', 'CERDA')",1
93,"('AGUILAR', 'COLLAO')",2
94,"('AGUILAR', 'ESCOBAR')",1
95,"('AGUILAR', 'FERNANDEZ')",1
96,"('AGUILAR', 'FUENTES')",1
97,"('AGUILAR', 'GALLO')",1
98,"('AGUILAR', 'GODOY')",5
99,"('AGUILAR', 'GONZALEZ')",6
100,"('AGUILAR', 'GUERRERO')",2
101,"('AGUILAR', 'HERRERA')",2
102,"('AGUILAR', 'IRIBARREN')",1
103,"('AGUILAR', 'LAZCANO')",1
104,"('AGUILAR', 'LEDESMA')",1
105,"('AGUILAR', 'LEDEZMA')",1
106,"('AGUILAR', 'MARENO')",2
107,"('AGUILAR', 'MONTERO')",1
108,"('AGUILAR', 'OJEDA')",2
109,"('AGUILAR', 'OLIVARES')",1
110,"('AGUILAR', 'OLIVOS')",1
111,"('AGUILAR', 'PACHECO')",1
112,"('AGUILAR', 'PALMA')",1
113,"('AGUILAR', 'PASTEN')",2
114,"('AGUILAR', 'PENAILILLO')",1
115,"('AGUILAR', 'PEREZ')",2
116,"('AGUILAR', 'QUEZADA')",2
117,"('AGUILAR', 'RIVERA')",1
118,"('AGUILAR', 'SANTANDER')",1
119,"('AGUILAR', 'SERRANO')",1
120,"('AGUILAR', 'TAPIA')",1
121,"('AGUILAR', 'TRONCOSO')",1
122,"('AGUILAR', 'VASQUEZ')",1
123,"('AGUILAR', 'VEGA')",1
124,"('AGUILERA', 'ADAOS')",1
125,"('AGUILERA', 'AGUILERA')",3
126,"('AGUILERA', 'ALVAREZ')",2
127,"('AGUILERA', 'ANGEL')",2
128,"('AGUILERA', 'ARACENA')",1
129,"('AGUILERA', 'BARRERA')",1
