,names,n
0,"('ABADIE', 'RIVAS')",2
1,"('ABARCA', 'CONTRERAS')",1
2,"('ABARCA', 'WALLIS')",1
3,"('ABARZUA', 'LILLO')",1
4,"('ABARZUA', 'RIVERA')",1
5,"('ABDE', 'GAHONA')",1
6,"('ABELLO', 'BAEZA')",1
7,"('ABELLO', 'OVANDO')",1
8,"('ABRIGO', 'FRANCO')",1
9,"('ABRIGO', 'LEON')",1
10,"('ABURTO', 'ABURTO')",3
11,"('ABURTO', 'AGUILANTE')",1
12,"('ABURTO', 'ARRIAGADA')",2
13,"('ABURTO', 'FARIAS')",1
14,"('ABURTO', 'OYARZUN')",1
15,"('ABURTO', 'ROBLES')",3
16,"('ACEITUNO', 'VICENCIO')",1
17,"('ACEVEDO', 'ACEVEDO')",1
18,"('ACEVEDO', 'AUAD')",2
19,"('ACEVEDO', 'BAHAMONDEZ')",1
20,"('ACEVEDO', 'CISTERNA')",1
21,"('ACEVEDO', 'CRUCES')",1
22,"('ACEVEDO', 'DIAZ')",2
23,"('ACEVEDO', 'ESCOBAR')",1
24,"('ACEVEDO', 'GOMEZ')",1
25,"('ACEVEDO', 'HERRERA')",1
26,"('ACEVEDO', 'MELLA')",2
27,"('ACEVEDO', 'QUEZADA')",1
28,"('ACEVEDO', 'SANDOVAL')",1
29,"('ACHIVARE', 'VALLEJOS')",1
30,"('ACOSTA', 'DIAZ')",1
31,"('ACOSTA', 'FUENTES')",1
32,"('ACOSTA', 'RIVAS')",1
33,"('ACOSTA', 'VERGARA')",1
34,"('ACUNA', 'ABARCA')",1
35,"('ACUNA', 'ACUNA')",1
36,"('ACUNA', 'AGUILAR')",1
37,"('ACUNA', 'BRIONES')",2
38,"('ACUNA', 'HENRIQUEZ')",1
39,"('ACUNA', 'MEDINA')",2
40,"('ACUNA', 'MIRANDA')",1
41,"('ACUNA', 'MONTEALEGRE')",1
42,"('ACUNA', 'MORALES')",1
43,"('ACUNA', 'MUNOZ')",2
44,"('ACUNA', 'ORELLANA')",2
45,"('ACUNA', 'POBLETE')",1
46,"('ACUNA', 'REBOLLEDO')",1
47,"('ACUNA', 'ROCA')",1
48,"('ACUNA', 'ROMERO')",1
49,"('ACUNA', 'ROZAS')",1
50,"('ACUNA', 'SEPULVEDA')",3
51,"('ACUNA', 'TOLEDO')",1
52,"('ACUNA', 'TORRES')",2
53,"('ADIO', 'OJEDA')",1
54,"('ADOFACCI', 'ZAMORA')",1
55,"('ADONIS', 'PONCE')",1
56,"('ADRIAZOLA', 'ALVAREZ')",2
57,"('ADRIAZOLA', 'FORMANTEL')",1
58,"('ADRIAZOLA', 'PEREIRA')",1
59,"('ADRIAZOLA', 'RIQUELME')",1
