,names,n
0,"('ABALO', 'HERRERA')",1
1,"('ABALOS', 'ACUNA')",1
2,"('ABALOS', 'CORDOVA')",1
3,"('ABALOS', 'INFANTE')",1
4,"('ABALOS', 'URRUTIA')",2
5,"('ABALOS', 'ZEPEDA')",1
6,"('ABARCA', 'ALARCON')",1
7,"('ABARCA', 'CARVAJAL')",1
8,"('ABARCA', 'CONEJEROS')",1
9,"('ABARCA', 'CONTRERAS')",1
10,"('ABARCA', 'CUELLAR')",1
11,"('ABARCA', 'DORN')",1
12,"('ABARCA', 'IRIARTE')",1
13,"('ABARCA', 'MOLINA')",1
14,"('ABARCA', 'PEREIRA')",1
15,"('ABARCA', 'VALDERRAMA')",1
16,"('ABARCA', 'VILLASECA')",1
17,"('ABARCA', 'VIVANCO')",1
18,"('ABARCIA', 'DURAN')",1
19,"('ABARCIA', 'MORALES')",1
20,"('ABARZUA', 'PASTEN')",1
21,"('ABARZUA', 'TABILO')",1
22,"('ABATTO', 'JEREZ')",1
23,"('ABBOTT', 'SANTANDER')",1
24,"('ABETT DE LA TORRE', 'ROJO')",1
25,"('ABREGO', 'AGUIRRE')",1
26,"('ABREGO', 'GARCIA')",1
27,"('ABRIGO', 'QUIJADA')",1
28,"('ABSE', 'GONZALEZ')",2
29,"('ABURTO', 'GUERRERO')",1
30,"('ABURTO', 'MALDONADO')",1
31,"('ABUSLEME', 'PENALOZA')",1
32,"('ABUTRIDY', 'TORO')",1
33,"('ACCINI', 'MUNOZ')",1
34,"('ACEITON', 'CLAVERIA')",1
35,"('ACEITON', 'ROJAS')",1
36,"('ACEVEDO', 'ALEGRE')",1
37,"('ACEVEDO', 'BACHO')",1
38,"('ACEVEDO', 'BIANCHINI')",1
39,"('ACEVEDO', 'BLAU')",1
40,"('ACEVEDO', 'CACERES')",1
41,"('ACEVEDO', 'CARRENO')",1
42,"('ACEVEDO', 'CASTILLO')",1
43,"('ACEVEDO', 'CHAVARRIA')",1
44,"('ACEVEDO', 'CISTERNAS')",1
45,"('ACEVEDO', 'CORNEJO')",1
46,"('ACEVEDO', 'CUEVAS')",1
47,"('ACEVEDO', 'FAUNDEZ')",1
48,"('ACEVEDO', 'FUENTES')",3
49,"('ACEVEDO', 'GAJARDO')",1
50,"('ACEVEDO', 'GALAZ')",1
51,"('ACEVEDO', 'GALLARDO')",2
52,"('ACEVEDO', 'JIMENEZ')",1
53,"('ACEVEDO', 'LEYTON')",1
54,"('ACEVEDO', 'MAINERI')",1
55,"('ACEVEDO', 'MERCADO')",3
56,"('ACEVEDO', 'MOLL')",1
57,"('ACEVEDO', 'MORALES')",2
58,"('ACEVEDO', 'OLIVARES')",4
59,"('ACEVEDO', 'OYARZUN')",2
60,"('ACEVEDO', 'PIZARRO')",2
61,"('ACEVEDO', 'RIVEROS')",1
62,"('ACEVEDO', 'ROCO')",2
63,"('ACEVEDO', 'SEGOVIA')",1
64,"('ACEVEDO', 'SEPULVEDA')",5
65,"('ACEVEDO', 'TAMAYO')",1
66,"('ACEVEDO', 'TAPIA')",1
67,"('ACEVEDO', 'TORO')",1
68,"('ACEVEDO', 'VALENCIA')",1
69,"('ACEVEDO', 'VARGAS')",1
70,"('ACEVEDO', 'VEGA')",2
71,"('ACEVEDO', 'VERA')",1
72,"('ACHU', 'ALVEAR')",1
73,"('ACHU', 'GERALDO')",1
74,"('ACIARES', 'RIVERA')",1
75,"('ACOSTA', 'ACOSTA')",2
76,"('ACOSTA', 'ANGEL')",1
77,"('ACOSTA', 'ARAYA')",3
78,"('ACOSTA', 'ARCOS')",1
79,"('ACOSTA', 'CASTILLO')",1
80,"('ACOSTA', 'CASTRO')",1
81,"('ACOSTA', 'CONTRERAS')",2
82,"('ACOSTA', 'CORTES')",2
83,"('ACOSTA', 'DIAZ')",2
84,"('ACOSTA', 'DONOSO')",1
85,"('ACOSTA', 'GALLARDO')",1
86,"('ACOSTA', 'HENRIQUEZ')",1
87,"('ACOSTA', 'HUERTA')",1
88,"('ACOSTA', 'MARIN')",3
89,"('ACOSTA', 'MAUREIRA')",1
90,"('ACOSTA', 'MUNOZ')",1
91,"('ACOSTA', 'NUNEZ')",1
92,"('ACOSTA', 'PUNO')",1
93,"('ACOSTA', 'RAMIREZ')",2
94,"('ACOSTA', 'SALINAS')",1
95,"('ACOSTA', 'UBILLO')",1
96,"('ACOSTA', 'VALDIVIA')",1
97,"('ACOSTA', 'VEAS')",1
98,"('ACOSTA', 'VERGARA')",2
99,"('ACUNA', 'ACUNA')",4
100,"('ACUNA', 'ALLENDE')",3
101,"('ACUNA', 'ARAYA')",10
102,"('ACUNA', 'AROCA')",2
103,"('ACUNA', 'ARREDONDO')",1
104,"('ACUNA', 'BARRAZA')",2
105,"('ACUNA', 'BASTIAS')",1
