,names,n
0,"('ABAD', 'FIGUEROA')",1
1,"('ABAD', 'VALENCIA')",2
2,"('ABARA', 'VALENZUELA')",1
3,"('ABARCA', 'ARCE')",1
4,"('ABARCA', 'CABRERA')",2
5,"('ABARCA', 'CARES')",2
6,"('ABARCA', 'CASTILLO')",1
7,"('ABARCA', 'CORREA')",2
8,"('ABARCA', 'FUENTES')",1
9,"('ABARCA', 'MARQUEZ')",1
10,"('ABARCA', 'NAVARRETE')",1
11,"('ABARCA', 'POBLETE')",1
12,"('ABARCA', 'SEPULVEDA')",1
13,"('ABARCA', 'ULLOA')",1
14,"('ABARCA', 'VALLEJOS')",1
15,"('ABARZA', 'CHACON')",1
16,"('ABARZA', 'YANEZ')",2
17,"('ABARZUA', 'ABARZUA')",1
18,"('ABARZUA', 'ANTOGNONI')",1
19,"('ABARZUA', 'CALFUQUIR')",1
20,"('ABARZUA', 'CAMPOS')",1
21,"('ABARZUA', 'CAMUS')",1
22,"('ABARZUA', 'CASTRO')",1
23,"('ABARZUA', 'CERDA')",1
24,"('ABARZUA', 'CIFUENTES')",1
25,"('ABARZUA', 'DIAZ')",1
26,"('ABARZUA', 'FERNANDEZ')",1
27,"('ABARZUA', 'FIGUEROA')",1
28,"('ABARZUA', 'GAJARDO')",2
29,"('ABARZUA', 'GELVEZ')",1
30,"('ABARZUA', 'GONZALEZ')",3
31,"('ABARZUA', 'HARNISCH')",1
32,"('ABARZUA', 'HENRIQUEZ')",1
33,"('ABARZUA', 'HERNANDEZ')",1
34,"('ABARZUA', 'HOYUELA')",1
35,"('ABARZUA', 'HUARACAN')",2
36,"('ABARZUA', 'INOSTROZA')",2
37,"('ABARZUA', 'JARAMILLO')",1
38,"('ABARZUA', 'LINCO')",2
39,"('ABARZUA', 'LLANCAMIL')",1
40,"('ABARZUA', 'LOYOLA')",2
41,"('ABARZUA', 'MANDIOLA')",1
42,"('ABARZUA', 'MARTINEZ')",1
43,"('ABARZUA', 'MERINO')",3
44,"('ABARZUA', 'MEZA')",1
45,"('ABARZUA', 'MUNOZ')",1
46,"('ABARZUA', 'PEREZ')",1
47,"('ABARZUA', 'QUIJADA')",1
48,"('ABARZUA', 'QUILACAN')",1
49,"('ABARZUA', 'SAEZ')",1
50,"('ABARZUA', 'SAN MARTIN')",1
51,"('ABARZUA', 'SANDOVAL')",3
52,"('ABARZUA', 'SANHUEZA')",2
53,"('ABARZUA', 'SEPULVEDA')",1
54,"('ABARZUA', 'VERA')",1
55,"('ABDALA', 'ABARZUA')",1
56,"('ABDALA', 'MORA')",1
57,"('ABELLO', 'DIAZ')",1
58,"('ABELLO', 'GALLARDO')",1
59,"('ABELLO', 'GARRIDO')",2
60,"('ABELLO', 'HERRERA')",1
61,"('ABELLO', 'MALTES')",1
62,"('ABELLO', 'RAMOS')",1
63,"('ABELLO', 'RONDA')",1
64,"('ABELLO', 'VILUGRON')",1
65,"('ABELLO', 'ZAPATA')",1
66,"('ABU AWAD', 'ALAMO')",1
67,"('ABUMOHOR', 'CURIMIL')",1
68,"('ABURTO', 'ABURTO')",1
69,"('ABURTO', 'AGUILAR')",1
70,"('ABURTO', 'ALAMOS')",1
71,"('ABURTO', 'ARRIAGADA')",1
72,"('ABURTO', 'BARRA')",1
73,"('ABURTO', 'CABRERA')",1
74,"('ABURTO', 'CALFUNAO')",1
75,"('ABURTO', 'CANDIA')",1
76,"('ABURTO', 'CASTILLO')",2
77,"('ABURTO', 'CHEPO')",1
78,"('ABURTO', 'CIFUENTES')",1
79,"('ABURTO', 'COFRE')",1
80,"('ABURTO', 'CONTRERAS')",1
81,"('ABURTO', 'DUHART')",1
82,"('ABURTO', 'ESPINOZA')",1
83,"('ABURTO', 'FERNANDEZ')",2
84,"('ABURTO', 'GOMEZ')",1
85,"('ABURTO', 'GONZALEZ')",1
86,"('ABURTO', 'HENRIQUEZ')",1
87,"('ABURTO', 'HINOJOSA')",1
88,"('ABURTO', 'HUENCHUNAO')",1
89,"('ABURTO', 'JIMENEZ')",1
90,"('ABURTO', 'KROL')",1
91,"('ABURTO', 'LANDEROS')",1
92,"('ABURTO', 'LEIVA')",1
93,"('ABURTO', 'LLANCAVIL')",1
94,"('ABURTO', 'MARCHANT')",1
95,"('ABURTO', 'MARILEO')",3
96,"('ABURTO', 'MARTINEZ')",2
97,"('ABURTO', 'MATAMALA')",1
98,"('ABURTO', 'MORALES')",2
99,"('ABURTO', 'NOVOA')",1
100,"('ABURTO', 'OLAVE')",1
101,"('ABURTO', 'ORTIS')",1
102,"('ABURTO', 'OTAROLA')",1
103,"('ABURTO', 'PACHECO')",1
104,"('ABURTO', 'PALMA')",1
105,"('ABURTO', 'PENA')",1
106,"('ABURTO', 'PICHUN')",1
107,"('ABURTO', 'RAMIREZ')",1
108,"('ABURTO', 'RAMOS')",2
109,"('ABURTO', 'REBOLLEDO')",1
110,"('ABURTO', 'RUBILAR')",1
111,"('ABURTO', 'SALDIAS')",1
112,"('ABURTO', 'SANZANA')",1
113,"('ABURTO', 'SOTO')",2
114,"('ABURTO SAN', 'MARTIN')",1
115,"('ACEITON', 'ARIAS')",1
116,"('ACEITON', 'LEYTON')",1
117,"('ACEITON', 'MORENO')",1
118,"('ACEITON', 'MUNOZ')",1
119,"('ACEITON', 'PEREZ')",1
120,"('ACEITON', 'VASQUEZ')",1
121,"('ACEITON', 'VILLAGRAN')",1
122,"('ACEITUNO', 'QUILODRAN')",2
123,"('ACEITUNO', 'REYES')",1
124,"('ACENCIO', 'BARRIENTOS')",2
125,"('ACEVEDO', 'ACEVEDO')",1
126,"('ACEVEDO', 'ALLENDE')",1
127,"('ACEVEDO', 'BERRIOS')",1
128,"('ACEVEDO', 'BRAVO')",1
129,"('ACEVEDO', 'FUENTES')",1
130,"('ACEVEDO', 'GAJARDO')",1
131,"('ACEVEDO', 'LEAL')",1
132,"('ACEVEDO', 'LEIVA')",1
