,names,n
0,"('AAZCO', 'FUENTES')",1
1,"('ABAD', 'LOBOS')",2
2,"('ABALLE', 'MARTINEZ')",1
3,"('ABALOS', 'VILLAR')",1
4,"('ABARCA', 'CARRASCO')",2
5,"('ABARCA', 'DURAN')",1
6,"('ABARCA', 'FERNANDEZ')",1
7,"('ABARCA', 'GUERRERO')",1
8,"('ABARCA', 'HERNANDEZ')",1
9,"('ABARCA', 'MATUS')",1
10,"('ABARCA', 'QUIDEL')",3
11,"('ABARCA', 'REVECO')",1
12,"('ABARCA', 'VILLALOBOS')",1
13,"('ABARZA', 'RIQUELME')",1
14,"('ABARZA', 'RODRIGUEZ')",1
15,"('ABARZUA', 'ANABALON')",1
16,"('ABARZUA', 'AVILES')",1
17,"('ABARZUA', 'BUENO')",1
18,"('ABARZUA', 'CARCAMO')",2
19,"('ABARZUA', 'GARRIDO')",1
20,"('ABARZUA', 'LAGOS')",1
21,"('ABARZUA', 'TEJEDA')",2
22,"('ABARZUA', 'VELASQUEZ')",1
23,"('ABDALA', 'PAREDES')",1
24,"('ABE', 'PELLISA')",1
25,"('ABELLO', 'ABELLO')",1
26,"('ABELLO', 'AYALA')",2
27,"('ABELLO', 'BARRA')",1
28,"('ABELLO', 'CARCAMO')",1
29,"('ABELLO', 'CASAS')",1
30,"('ABELLO', 'MONSALVE')",1
31,"('ABRIGO', 'SOTO')",1
32,"('ABURTO', 'ABURTO')",1
33,"('ABURTO', 'AGUERO')",1
34,"('ABURTO', 'ALMONACID')",2
35,"('ABURTO', 'ALVAREZ')",2
36,"('ABURTO', 'ANCAPAN')",2
37,"('ABURTO', 'ANGULO')",1
38,"('ABURTO', 'ARANEDA')",1
39,"('ABURTO', 'BAHAMONDE')",1
40,"('ABURTO', 'BAHAMONDES')",2
41,"('ABURTO', 'BARRIA')",2
42,"('ABURTO', 'BARRIENTOS')",2
43,"('ABURTO', 'BERRIOS')",1
44,"('ABURTO', 'BURGOS')",2
45,"('ABURTO', 'CALFULLANCA')",1
46,"('ABURTO', 'CARDENAS')",2
47,"('ABURTO', 'CARMONA')",1
48,"('ABURTO', 'CORONADO')",1
49,"('ABURTO', 'DIAZ')",6
50,"('ABURTO', 'EUJENIO')",1
51,"('ABURTO', 'FERRADA')",3
52,"('ABURTO', 'FIGUEROA')",2
53,"('ABURTO', 'FLORES')",3
54,"('ABURTO', 'FOITZICH')",1
55,"('ABURTO', 'FONTEALBA')",1
56,"('ABURTO', 'FUENTES')",2
57,"('ABURTO', 'GOMEZ')",4
58,"('ABURTO', 'GONZALEZ')",4
59,"('ABURTO', 'GUTIERREZ')",1
60,"('ABURTO', 'JARA')",1
61,"('ABURTO', 'JIMENEZ')",5
62,"('ABURTO', 'MANCILLA')",1
63,"('ABURTO', 'MANSILLA')",1
64,"('ABURTO', 'MARAGANO')",1
65,"('ABURTO', 'MARTINEZ')",2
66,"('ABURTO', 'MELLA')",1
67,"('ABURTO', 'MIRANDA')",2
68,"('ABURTO', 'MOMBERG')",1
69,"('ABURTO', 'MUNOZ')",2
