,names,n
0,"('ABAITUA', 'ULLOA')",1
1,"('ABARCA', 'ANTILEO')",1
2,"('ABARCA', 'SEPULVEDA')",1
3,"('ABARCA', 'VERDEJO')",1
4,"('ABARZA', 'BECERRA')",1
5,"('ABARZA', 'VELIZ')",1
6,"('ABARZUA', 'ABARZUA')",1
7,"('ABARZUA', 'CARDENAS')",1
8,"('ABARZUA', 'HENRIQUEZ')",1
9,"('ABARZUA', 'MEZA')",2
10,"('ABARZUA', 'SALGADO')",1
11,"('ABARZUA', 'VALENZUELA')",2
12,"('ABDON', 'ABDON')",3
13,"('ABELLO', 'ABELLO')",1
14,"('ABELLO', 'ABURTO')",1
15,"('ABELLO', 'CARDENAS')",2
16,"('ABELLO', 'GAJARDO')",1
17,"('ABELLO', 'GONZALEZ')",1
18,"('ABELLO', 'MOLL')",2
19,"('ABELLO', 'VARAS')",1
20,"('ABREU', 'DIAZ')",1
21,"('ABUDAYA', 'VARGAS')",1
22,"('ABURTO', 'ALVAREZ')",2
23,"('ABURTO', 'ARRIAGADA')",1
24,"('ABURTO', 'BARRIA')",2
25,"('ABURTO', 'CALDERON')",1
26,"('ABURTO', 'CATALAN')",1
27,"('ABURTO', 'DIAZ')",1
28,"('ABURTO', 'GARRIDO')",1
29,"('ABURTO', 'GONZALEZ')",1
30,"('ABURTO', 'MARTINEZ')",1
31,"('ABURTO', 'MORAGA')",1
32,"('ABURTO', 'OYARZO')",1
33,"('ABURTO', 'PALACIOS')",1
34,"('ABURTO', 'PINUER')",1
35,"('ABURTO', 'RAMOS')",1
36,"('ABURTO', 'RODRIGUEZ')",1
37,"('ABURTO', 'ROMERO')",1
38,"('ABURTO', 'SCAVO')",1
39,"('ABURTO', 'SOTO')",1
40,"('ABURTO', 'VARGAS')",3
41,"('ACEITON', 'LINCOQUEO')",1
42,"('ACEITON', 'MOLINA')",1
43,"('ACEITON', 'VILLAGRAN')",1
44,"('ACEVEDO', 'ABARZUA')",1
45,"('ACEVEDO', 'BUSTOS')",1
46,"('ACEVEDO', 'CORTES')",1
47,"('ACEVEDO', 'GONZALEZ')",2
48,"('ACEVEDO', 'JELDRES')",2
49,"('ACEVEDO', 'MOLINA')",1
50,"('ACEVEDO', 'NAVARRO')",1
51,"('ACEVEDO', 'ROSALES')",1
52,"('ACEVEDO', 'SANDOVAL')",1
53,"('ACLE', 'INZUNZA')",1
54,"('ACLE', 'MARQUEZ')",1
55,"('ACOSTA', 'MOSQUERA')",1
56,"('ACUA', 'CONTRERAS')",1
57,"('ACUM', 'CHEUQUIAN')",1
58,"('ACUM', 'SALINAS')",1
59,"('ACUNA', 'AGUAYO')",1
60,"('ACUNA', 'ARANEDA')",1
61,"('ACUNA', 'BENAVENTE')",2
62,"('ACUNA', 'BURGOS')",1
63,"('ACUNA', 'CAIHUANTE')",1
64,"('ACUNA', 'CARRASCO')",1
65,"('ACUNA', 'CIFUENTES')",1
66,"('ACUNA', 'FUENTEALBA')",2
67,"('ACUNA', 'GALLEGUILLOS')",1
68,"('ACUNA', 'GARCIA')",1
69,"('ACUNA', 'GUTIERREZ')",2
70,"('ACUNA', 'HERRERA')",1
71,"('ACUNA', 'IPINZA')",1
72,"('ACUNA', 'LARA')",2
73,"('ACUNA', 'LEAL')",1
74,"('ACUNA', 'MANQUIMILLA')",1
75,"('ACUNA', 'MARTINEZ')",2
76,"('ACUNA', 'MATAMALA')",2
77,"('ACUNA', 'MEDINA')",2
78,"('ACUNA', 'MEIER')",1
