,names,n
0,"('ABAD', 'PETIGNANI')",1
1,"('ABALLAY', 'CABRERA')",1
2,"('ABARCA', 'DIAZ')",1
3,"('ABARCA', 'VOLANTE')",1
4,"('ABARZUA', 'VILLEGAS')",1
5,"('ABDALA', 'ABDALA')",1
6,"('ABELLO', 'ESPARZA')",1
7,"('ABELLO', 'MARDONES')",1
8,"('ABURTO', 'JARA')",1
9,"('ABURTO', 'PEREZ')",1
10,"('ACCORSI', 'LENNON')",2
11,"('ACEVEDO', 'GONZALEZ')",1
12,"('ACEVEDO', 'MIRANDA')",1
13,"('ACEVEDO', 'PEREZ')",1
14,"('ACHIARDI', 'LIVACIC')",1
15,"('ACOSTA', 'BARRIENTOS')",2
16,"('ACOSTA', 'CALFULEM')",2
17,"('ACOSTA', 'MURO')",1
18,"('ACOSTA', 'YANEZ')",2
19,"('ACUNA', 'ALVARADO')",1
20,"('ACUNA', 'CHIU')",1
21,"('ACUNA', 'ESPINOSA')",1
22,"('ACUNA', 'MASLOV')",1
23,"('ACUNA', 'MOLINA')",1
24,"('ACUNA', 'MORALES')",1
25,"('ACUNA', 'OYARZUN')",1
26,"('ADONES', 'VILLARROEL')",1
27,"('ADRIAN', 'DIAZ')",1
28,"('ADRIAN', 'VARGAS')",1
29,"('ADRIASOLA', 'CHAVEZ')",1
30,"('AEDO', 'BENDEK')",1
31,"('AEDO', 'GALLARDO')",1
32,"('AFFELD', 'RODRIGUEZ')",1
33,"('AGERO', 'BARRIA')",1
34,"('AGERO', 'NUNEZ')",1
35,"('AGERO', 'VILLARROEL')",1
36,"('AGONI', 'LOW')",1
37,"('AGREDA', 'PEREZ')",1
38,"('AGUAYO', 'CHAVES')",2
39,"('AGUAYO', 'ESTAY')",1
40,"('AGUAYO', 'HERNANDEZ')",1
41,"('AGUAYO', 'LOBO')",1
42,"('AGUAYO', 'RETAMALES')",1
43,"('AGUDO', 'GARCIA')",2
44,"('AGUERO', 'AGUILAR')",3
45,"('AGUERO', 'ANDRADE')",2
46,"('AGUERO', 'GARRIDO')",2
47,"('AGUERO', 'JARA')",2
48,"('AGUERO', 'ULLOA')",1
49,"('AGUERO', 'VASQUEZ')",1
50,"('AGUIL', 'SOTO')",1
51,"('AGUILA', 'ALVARADO')",1
52,"('AGUILA', 'ARANCIBIA')",1
53,"('AGUILA', 'ASENCIO')",1
54,"('AGUILA', 'BARRIA')",7
55,"('AGUILA', 'CALISTO')",1
56,"('AGUILA', 'CARMONA')",1
57,"('AGUILA', 'CISTERNAS')",1
58,"('AGUILA', 'FLORES')",2
59,"('AGUILA', 'GARCES')",1
60,"('AGUILA', 'GOMEZ')",2
61,"('AGUILA', 'HERNANDEZ')",1
62,"('AGUILA', 'JAQUE')",1
63,"('AGUILA', 'LIZAMA')",1
64,"('AGUILA', 'MONTIEL')",2
65,"('AGUILA', 'NAVARRO')",2
66,"('AGUILA', 'OJEDA')",2
67,"('AGUILA', 'PEREZ')",2
68,"('AGUILA', 'RETAMAL')",1
69,"('AGUILA', 'RUIZ')",1
70,"('AGUILA', 'VERA')",3
71,"('AGUILANTE', 'CANALES')",1
72,"('AGUILANTE', 'GONZALEZ')",1
73,"('AGUILANTE', 'MANSILLA')",1
74,"('AGUILANTE', 'NECUL')",1
75,"('AGUILANTE', 'PAREDES')",2
76,"('AGUILAR', 'AGUILAR')",2
77,"('AGUILAR', 'ALBERTI')",2
78,"('AGUILAR', 'ALVARADO')",5
79,"('AGUILAR', 'ANDRADE')",1
80,"('AGUILAR', 'ANTONIN')",1
81,"('AGUILAR', 'ASENCIO')",1
82,"('AGUILAR', 'BAEZ')",1
83,"('AGUILAR', 'BARRIA')",6
84,"('AGUILAR', 'BARRIENTOS')",3
85,"('AGUILAR', 'BRSTILO')",1
86,"('AGUILAR', 'CARDENAS')",3
87,"('AGUILAR', 'CARRERA')",1
88,"('AGUILAR', 'CAYUN')",1
89,"('AGUILAR', 'CHACON')",1
90,"('AGUILAR', 'DIAZ')",4
91,"('AGUILAR', 'ESPINOZA')",1
92,"('AGUILAR', 'GALLARDO')",1
93,"('AGUILAR', 'GALLEGOS')",1
94,"('AGUILAR', 'GARAY')",2
95,"('AGUILAR', 'GUENTEO')",1
96,"('AGUILAR', 'GUICHAPANI')",1
97,"('AGUILAR', 'HERNANDEZ')",4
98,"('AGUILAR', 'JARA')",1
99,"('AGUILAR', 'LEVIMAN')",1
100,"('AGUILAR', 'MACIAS')",1
101,"('AGUILAR', 'MALDONADO')",2
102,"('AGUILAR', 'MANSILLA')",1
103,"('AGUILAR', 'MARTINEZ')",1
104,"('AGUILAR', 'MARZAN')",1
105,"('AGUILAR', 'MATUS')",1
106,"('AGUILAR', 'MENENDEZ')",1
107,"('AGUILAR', 'MIRANDA')",3
108,"('AGUILAR', 'MONTIEL')",1
109,"('AGUILAR', 'MORAGA')",1
110,"('AGUILAR', 'MUNOZ')",1
111,"('AGUILAR', 'OJEDA')",2
112,"('AGUILAR', 'OLIVOS')",1
113,"('AGUILAR', 'OSSANDON')",1
114,"('AGUILAR', 'OYARZO')",3
115,"('AGUILAR', 'OYOLA')",1
116,"('AGUILAR', 'PEREZ')",3
117,"('AGUILAR', 'PINTO')",2
118,"('AGUILAR', 'QUINTUL')",1
119,"('AGUILAR', 'RAIN')",1
120,"('AGUILAR', 'RAMIREZ')",3
121,"('AGUILAR', 'RIOS')",1
122,"('AGUILAR', 'RIQUELME')",1
123,"('AGUILAR', 'ROJAS')",1
124,"('AGUILAR', 'RUIZ')",4
125,"('AGUILAR', 'SALDIVIA')",3
126,"('AGUILAR', 'SANCHEZ')",3
127,"('AGUILAR', 'TRUJILLO')",1
128,"('AGUILAR', 'VARGAS')",4
129,"('AGUILAR', 'VASQUEZ')",1
130,"('AGUILAR', 'VELASQUEZ')",1
131,"('AGUILAR', 'VERA')",3
132,"('AGUILAR', 'VILLARROEL')",3
133,"('AGUILAR', 'WILSON')",1
134,"('AGUILERA', 'AGUILA')",1
135,"('AGUILERA', 'BURGOS')",1
136,"('AGUILERA', 'CALBUANTE')",2
137,"('AGUILERA', 'CARO')",1
138,"('AGUILERA', 'HERNANDEZ')",2
139,"('AGUILERA', 'MILLAPEL')",1
140,"('AGUILERA', 'NECOCHEA')",1
141,"('AGUILERA', 'POBLETE')",1
142,"('AGUILERA', 'TRIVINO')",1
143,"('AGUILERA', 'VALENZUELA')",2
144,"('AGUILERA', 'VERGARA')",2
145,"('AGUIRRE', 'ARREDONDO')",1
146,"('AGUIRRE', 'GONZALEZ')",1
147,"('AGUIRRE', 'MUNOZ')",1
148,"('AGUIRRE', 'NUNEZ')",1
149,"('AGUIRRE', 'PLACENCIA')",1
150,"('AGUIRRE', 'VERA')",1
151,"('AGUIRRE', 'ZAPATA')",2
152,"('AGUIRRE', 'ZURITA')",1
153,"('AGURTO', 'RUBILAR')",1
154,"('AGURTO', 'VIDAL')",1
155,"('AHERN', 'BARRA')",1
156,"('AHERN', 'MANSILLA')",1
157,"('AHERN', 'RUIZ')",1
158,"('AHUMADA', 'AGUILAR')",1
159,"('AHUMADA', 'ALBORNOZ')",1
160,"('AICON', 'AICON')",1
161,"('AICON', 'URREA')",1
162,"('AILLAHUIL', 'PAILLALEF')",1
163,"('AILLAPAN', 'CAILEO')",1
164,"('AINOL', 'RIVERA')",1
165,"('ALACID', 'SEPULVEDA')",1
166,"('ALAMOS', 'PICHUNCHEO')",1
167,"('ALARCON', 'ALARCON')",1
168,"('ALARCON', 'ALONSO')",2
169,"('ALARCON', 'BARRIENTOS')",2
170,"('ALARCON', 'BORQUEZ')",1
171,"('ALARCON', 'BUSTAMANTE')",2
172,"('ALARCON', 'CAICHEO')",1
173,"('ALARCON', 'CAMPILLO')",1
174,"('ALARCON', 'CARDENAS')",2
175,"('ALARCON', 'CARRASCO')",1
176,"('ALARCON', 'COLI')",1
177,"('ALARCON', 'DIAZ')",1
178,"('ALARCON', 'GARRIDO')",1
179,"('ALARCON', 'GATICA')",1
180,"('ALARCON', 'GOMEZ')",1
181,"('ALARCON', 'HENRIQUEZ')",1
182,"('ALARCON', 'MANSILLA')",1
183,"('ALARCON', 'MAULEN')",1
184,"('ALARCON', 'PAREDES')",1
185,"('ALARCON', 'QUELIN')",1
186,"('ALARCON', 'QUEZADA')",1
187,"('ALARCON', 'RIVERA')",1
188,"('ALARCON', 'ROJAS')",1
189,"('ALARCON', 'TORRES')",2
190,"('ALARCON', 'VELASQUEZ')",1
191,"('ALARCON', 'VILLEGAS')",1
192,"('ALARCON', 'ZAMBRANO')",1
193,"('ALAVA', 'CEVALLOS')",2
194,"('ALBA', 'VARGAS')",1
195,"('ALBANEZ', 'SILVA')",1
196,"('ALBAYAY', 'GUERRA')",1
197,"('ALBORNOZ', 'AGUILA')",1
198,"('ALBORNOZ', 'SALGADO')",1
199,"('ALBORNOZ', 'TRONCOSO')",1
200,"('ALCAINO', 'IRARRAZABAL')",1
201,"('ALCAINO', 'VON HAUSEN')",1
202,"('ALCARRAZ', 'LOPEZ')",1
203,"('ALCAYAGA', 'ALCAYAGA')",1
204,"('ALCAYAGA', 'NOVOA')",1
205,"('ALCAYAGA', 'PALAZON')",1
206,"('ALCAYAGA', 'ZEREGA')",1
207,"('ALDAY', 'HUERTA')",1
208,"('ALDAY', 'REBOLLEDO')",1
209,"('ALDERETE', 'FLORES')",1
210,"('ALDERETE', 'GUENUL')",2
211,"('ALDERETE', 'LOPEZ')",1
212,"('ALDERETE', 'NAIPIL')",1
213,"('ALDERETE', 'PINCOL')",1
214,"('ALDERETE', 'RADATZ')",1
215,"('ALDERETE', 'TORRES')",1
216,"('ALEE', 'GIL')",2
217,"('ALEGRE', 'GONZALEZ')",1
218,"('ALEGRIA', 'MEJIAS')",1
219,"('ALEUY', 'MUNOZ')",1
220,"('ALFARO', 'LORCA')",1
221,"('ALFARO', 'MOLINA')",1
222,"('ALFARO', 'PEREZ')",2
223,"('ALFARO', 'TORRES')",1
224,"('ALI', 'MANCILLA')",1
225,"('ALIAGA', 'VOLKART')",1
226,"('ALICERA', 'ALLENDES')",1
227,"('ALID', 'MUNOZ')",1
228,"('ALLAN', 'RAMIREZ')",1
229,"('ALLENDE', 'OYARZUN')",2
230,"('ALLENDES', 'GONDRE')",1
231,"('ALMONACID', 'AGUILAR')",1
232,"('ALMONACID', 'ALMONACID')",3
233,"('ALMONACID', 'ARAOS')",1
234,"('ALMONACID', 'AVENDANO')",1
235,"('ALMONACID', 'BARRIA')",1
236,"('ALMONACID', 'CARDENAS')",2
237,"('ALMONACID', 'CULUN')",1
238,"('ALMONACID', 'GALLARDO')",2
239,"('ALMONACID', 'GONZALEZ')",1
240,"('ALMONACID', 'LLAIQUEL')",1
241,"('ALMONACID', 'MALDONADO')",1
242,"('ALMONACID', 'MOLINET')",1
243,"('ALMONACID', 'MUNOZ')",1
244,"('ALMONACID', 'NUNEZ')",1
245,"('ALMONACID', 'OJEDA')",3
246,"('ALMONACID', 'OYARZO')",1
247,"('ALMONACID', 'SALAS')",1
248,"('ALMONACID', 'TRUJILLO')",1
249,"('ALMONACID', 'ULLOA')",1
250,"('ALMONACID', 'URIBE')",1
251,"('ALMONACID', 'VALENZUELA')",1
252,"('ALMONACID', 'VELASQUEZ')",1
253,"('ALMONACID', 'VILLARROEL')",2
254,"('ALQUINTA', 'MORALES')",1
255,"('ALTAMIRANO', 'ABURTO')",1
256,"('ALTAMIRANO', 'ANDRADE')",1
257,"('ALTAMIRANO', 'BARRIA')",2
258,"('ALTAMIRANO', 'FIGUEROA')",1
259,"('ALTAMIRANO', 'GUICHAPAE')",1
260,"('ALTAMIRANO', 'MANSILLA')",1
261,"('ALTAMIRANO', 'NAVARRO')",2
262,"('ALTAMIRANO', 'VARGAS')",1
263,"('ALTAMIRANO', 'VIVAR')",1
264,"('ALVARADEJO', 'OJEDA')",1
265,"('ALVARADO', 'ALVARADO')",2
266,"('ALVARADO', 'AMPUERO')",3
267,"('ALVARADO', 'ANDRADE')",1
268,"('ALVARADO', 'ANTILEF')",1
269,"('ALVARADO', 'ARANEDA')",1
270,"('ALVARADO', 'ARAVENA')",1
271,"('ALVARADO', 'BAHAMONDE')",2
272,"('ALVARADO', 'BARRIA')",4
273,"('ALVARADO', 'BARRIENTOS')",5
274,"('ALVARADO', 'BERROCAL')",1
275,"('ALVARADO', 'BUSTOS')",1
276,"('ALVARADO', 'CARDENAS')",5
277,"('ALVARADO', 'DE ARCAS')",1
278,"('ALVARADO', 'DIAZ')",2
