,names,n
0,"('ABAD', 'ESTEFO')",2
1,"('ABARCA', 'ALARCON')",2
2,"('ABARCA', 'CARMONA')",1
3,"('ABARCA', 'LEPE')",1
4,"('ABARCA', 'MOLINA')",2
5,"('ABARCA', 'PEREZ')",1
6,"('ABARCA', 'RIQUELME')",2
7,"('ABARCA', 'TRIVINO')",1
8,"('ABARZA', 'ORTEGA')",1
9,"('ABARZUA', 'ARANEDA')",3
10,"('ABARZUA', 'BRAVO')",1
11,"('ABARZUA', 'GUTIERREZ')",1
12,"('ABARZUA', 'HERNANDEZ')",1
13,"('ABARZUA', 'IBANEZ')",2
14,"('ABARZUA', 'LABRIN')",2
15,"('ABARZUA', 'LEIVA')",1
16,"('ABARZUA', 'MARTINEZ')",1
17,"('ABARZUA', 'ORTEGA')",2
18,"('ABARZUA', 'ORTIZ')",1
19,"('ABARZUA', 'PARRA')",1
20,"('ABARZUA', 'TRONCOSO')",1
21,"('ABASOLO', 'MONTALVA')",1
22,"('ABATTO', 'SEGURA')",1
23,"('ABEDRAPO', 'GAVILAN')",1
24,"('ABURTO', 'CERNA')",1
25,"('ABURTO', 'FUENTES')",1
26,"('ABURTO', 'GONZALEZ')",1
27,"('ABURTO', 'MUNOZ')",2
28,"('ABURTO', 'PEREZ')",1
29,"('ABURTO', 'RAMIREZ')",3
30,"('ABURTO', 'ULLOA')",2
31,"('ACEITON', 'SALAZAR')",2
32,"('ACEVEDO', 'AGURTO')",2
33,"('ACEVEDO', 'BAEZA')",1
34,"('ACEVEDO', 'BASTIAS')",1
35,"('ACEVEDO', 'CASTILLO')",1
36,"('ACEVEDO', 'CERDA')",2
37,"('ACEVEDO', 'COSSIO')",2
38,"('ACEVEDO', 'COTAL')",1
39,"('ACEVEDO', 'FIGUEROA')",1
40,"('ACEVEDO', 'FUENTES')",2
41,"('ACEVEDO', 'JARA')",3
42,"('ACEVEDO', 'MENDOZA')",1
43,"('ACEVEDO', 'MUNOZ')",1
