,names,n
0,"('.', '.')",1
1,"('ABACA', 'DINAMARCA')",1
2,"('ABACA', 'MORALES')",1
3,"('ABAD', 'PULGAR')",1
4,"('ABAITUA', 'ULLOA')",1
5,"('ABALLAY', 'RUBIO')",1
6,"('ABARCA', 'ABARCA')",5
7,"('ABARCA', 'AGUILERA')",1
8,"('ABARCA', 'ARANGUIZ')",2
9,"('ABARCA', 'AREVALO')",1
10,"('ABARCA', 'AROS')",1
11,"('ABARCA', 'ARRAZURIZ')",1
12,"('ABARCA', 'AVILES')",1
13,"('ABARCA', 'BALBOA')",1
14,"('ABARCA', 'BANDA')",4
15,"('ABARCA', 'BARRA')",1
16,"('ABARCA', 'BARRERA')",1
17,"('ABARCA', 'BARRIENTOS')",1
18,"('ABARCA', 'BECERRA')",2
19,"('ABARCA', 'BOZO')",1
20,"('ABARCA', 'BUSTAMANTE')",2
21,"('ABARCA', 'BUSTOS')",1
22,"('ABARCA', 'CABELLO')",2
23,"('ABARCA', 'CABEZAS')",6
24,"('ABARCA', 'CACERES')",3
25,"('ABARCA', 'CAMPOS')",2
26,"('ABARCA', 'CANTILLANA')",1
27,"('ABARCA', 'CARDENAS')",1
28,"('ABARCA', 'CAROCA')",2
29,"('ABARCA', 'CARRASCO')",6
30,"('ABARCA', 'CARRENO')",1
31,"('ABARCA', 'CARRERA')",2
32,"('ABARCA', 'CASTILLO')",4
33,"('ABARCA', 'CASTRO')",4
34,"('ABARCA', 'CIFUENTES')",1
35,"('ABARCA', 'COFRE')",1
36,"('ABARCA', 'CONNELL')",1
37,"('ABARCA', 'CONOEMAN')",1
38,"('ABARCA', 'CONTRERAS')",1
39,"('ABARCA', 'CORREA')",1
40,"('ABARCA', 'CORTES')",2
41,"('ABARCA', 'DEL PINO')",3
42,"('ABARCA', 'DIAZ')",12
43,"('ABARCA', 'DURAN')",3
44,"('ABARCA', 'ESCOBAR')",1
45,"('ABARCA', 'ESPINOZA')",2
46,"('ABARCA', 'FARIAS')",2
47,"('ABARCA', 'FIGUEROA')",2
48,"('ABARCA', 'FLORES')",3
49,"('ABARCA', 'FUENTEALBA')",1
50,"('ABARCA', 'FUENTES')",2
51,"('ABARCA', 'FUENZALIDA')",1
52,"('ABARCA', 'GAETE')",1
53,"('ABARCA', 'GALAZ')",3
54,"('ABARCA', 'GARCIA')",1
55,"('ABARCA', 'GONZALEZ')",11
56,"('ABARCA', 'GUTIERREZ')",1
57,"('ABARCA', 'HUENCHUNIR')",1
58,"('ABARCA', 'JARA')",1
59,"('ABARCA', 'JELVEZ')",1
60,"('ABARCA', 'JORQUERA')",2
61,"('ABARCA', 'LABRA')",1
62,"('ABARCA', 'LAZO')",1
63,"('ABARCA', 'LEIVA')",4
64,"('ABARCA', 'LIZAMA')",1
65,"('ABARCA', 'LIZANA')",3
66,"('ABARCA', 'MARTINEZ')",4
67,"('ABARCA', 'MENDEZ')",3
68,"('ABARCA', 'MEZA')",1
69,"('ABARCA', 'MIRANDA')",6
70,"('ABARCA', 'MONTERO')",1
71,"('ABARCA', 'MORA')",1
72,"('ABARCA', 'MORALES')",4
73,"('ABARCA', 'MORENO')",1
74,"('ABARCA', 'MOURAS')",1
75,"('ABARCA', 'MUNOZ')",7
76,"('ABARCA', 'OLIVARES')",5
77,"('ABARCA', 'ORELLANA')",2
78,"('ABARCA', 'ORTIZ')",1
79,"('ABARCA', 'OSORIO')",1
80,"('ABARCA', 'PADILLA')",1
81,"('ABARCA', 'PASTENE')",2
82,"('ABARCA', 'PAVEZ')",4
83,"('ABARCA', 'PENA')",2
84,"('ABARCA', 'PEREIRA')",1
85,"('ABARCA', 'PINA')",2
86,"('ABARCA', 'POBLETE')",2
87,"('ABARCA', 'QUEZADA')",1
88,"('ABARCA', 'QUIROZ')",1
89,"('ABARCA', 'RAMIREZ')",5
90,"('ABARCA', 'RIQUELME')",2
91,"('ABARCA', 'ROJAS')",4
92,"('ABARCA', 'ROMERO')",3
93,"('ABARCA', 'RUBIO')",1
94,"('ABARCA', 'RUZ')",1
95,"('ABARCA', 'SALAS')",1
96,"('ABARCA', 'SEGURA')",1
97,"('ABARCA', 'SEPULVEDA')",3
98,"('ABARCA', 'SERRANO')",1
99,"('ABARCA', 'SILVA')",2
100,"('ABARCA', 'SOTELO')",1
101,"('ABARCA', 'SOTO')",3
102,"('ABARCA', 'TORO')",1
103,"('ABARCA', 'URREA')",1
104,"('ABARCA', 'URZUA')",3
105,"('ABARCA', 'VALENZUELA')",2
106,"('ABARCA', 'VARGAS')",2
107,"('ABARCA', 'VASQUEZ')",1
108,"('ABARCA', 'VELASCO')",1
109,"('ABARCA', 'VENEGAS')",2
110,"('ABARCA', 'VERA')",3
111,"('ABARCA', 'VERGARA')",1
112,"('ABARCA', 'VIDAL')",2
113,"('ABARCA', 'VILLALOBOS')",2
114,"('ABARCA', 'ZAMORANO')",4
115,"('ABARCA', 'ZENTENO')",2
116,"('ABARZUA', 'ARIAS')",1
117,"('ABARZUA', 'CUBILLOS')",1
118,"('ABARZUA', 'ESPINOZA')",2
119,"('ABARZUA', 'FUENTES')",1
120,"('ABASOLO', 'CAMPOS')",1
121,"('ABASOLO', 'MEDINA')",1
122,"('ABASOLO', 'SOTO')",1
123,"('ABATE', 'GRAJALES')",1
124,"('ABBOTT', 'BARRAZA')",1
125,"('ABDALA', 'SUAZO')",1
126,"('ABELLEIRA', 'FIGUEROA')",1
127,"('ABELLO', 'CANDIA')",1
128,"('ABELLO', 'FLORES')",1
129,"('ABERL', 'BARAHONA')",1
130,"('ABRAHAM', 'DIAZ')",1
131,"('ABREU', 'ALONSO')",1
132,"('ABRIGO', 'IBARRA')",1
133,"('ABRIGO', 'MORENO')",2
134,"('ABRIGO', 'MUNOZ')",1
135,"('ABRIGO', 'PECHUANTE')",1
136,"('ABRIGO', 'VARGAS')",1
137,"('ABRIIGO', 'MUNOZ')",1
138,"('ABRILOT', 'REYES')",1
139,"('ABUD', 'CASTRO')",2
140,"('ABUD', 'OVIEDO')",1
141,"('ABUD', 'PARRA')",2
142,"('ABUD', 'VALENZUELA')",1
143,"('ABURTO', 'AROS')",1
