,names,n
0,"('ABARCA', 'ARAVENA')",1
1,"('ABARCA', 'ELIZONDO')",1
2,"('ABARCA', 'GALDAMES')",1
3,"('ABARCA', 'MANQUEZ')",1
4,"('ABARCA', 'OLIVARES')",1
5,"('ABARCA', 'SEPULVEDA')",1
6,"('ABARZA', 'GONZALEZ')",2
7,"('ABARZUA', 'ANGEL')",1
8,"('ABARZUA', 'CONSTANZO')",1
9,"('ABARZUA', 'VILLEGAS')",1
10,"('ABD_EL_KADER', 'CEBALLOS')",1
11,"('ABUAUAD', 'ABELLO')",1
12,"('ABURTO', 'DAPONTE')",1
13,"('ACEITUNO', 'ALVAREZ')",2
14,"('ACEITUNO', 'CHAU')",2
15,"('ACEITUNO', 'FLORES')",1
16,"('ACEITUNO', 'ORREGO')",1
17,"('ACEITUNO', 'PARRA')",2
18,"('ACEVEDO', 'BUSTAMANTE')",1
19,"('ACEVEDO', 'CALDERON')",1
20,"('ACEVEDO', 'GARCIA')",1
21,"('ACEVEDO', 'GONZALEZ')",2
22,"('ACEVEDO', 'HUANCA')",1
23,"('ACEVEDO', 'MOSCOSO')",1
24,"('ACEVEDO', 'MUNITA')",1
25,"('ACEVEDO', 'PEREZ')",1
26,"('ACEVEDO', 'SALINAS')",1
27,"('ACEVEDO', 'SOTO')",1
28,"('ACHURRA', 'LE BLANC')",1
29,"('ACKERMANN', 'PEDRERO')",1
30,"('ACKERMANN', 'SOTO')",2
31,"('ACORI', 'GUZMAN')",1
32,"('ACOSTA', 'CONCHA')",1
33,"('ACOSTA', 'GANGAS')",1
34,"('ACOSTA', 'MARROQUIN')",1
35,"('ACOSTA', 'VALLEJOS')",1
36,"('ACUNA', 'AVALOS')",1
37,"('ACUNA', 'CARVACHO')",1
38,"('ACUNA', 'CASTILLO')",1
39,"('ACUNA', 'GALLEGUILLOS')",1
40,"('ACUNA', 'GUTIERREZ')",1
41,"('ACUNA', 'MORENO')",1
42,"('ACUNA', 'NAVARRO')",1
43,"('ACUNA', 'NUNEZ')",2
44,"('ACUNA', 'POLANCO')",1
45,"('ACUNA', 'RETAMAL')",1
46,"('ACUNA', 'VILCA')",1
47,"('ACUNA', 'VISCAY')",1
48,"('ADAN', 'ACUNA')",1
49,"('ADARO', 'AGUIRRE')",1
50,"('ADASME', 'OSSANDON')",1
51,"('ADASME', 'VALENZUELA')",1
52,"('ADASME', 'VIGUERAS')",1
53,"('ADASME', 'WALTER')",2
54,"('ADONES', 'PONCE')",1
55,"('ADONIS', 'VALENCIA')",1
56,"('ADRIAZOLA', 'MARTINEZ')",1
57,"('AEDO', 'ARAYA')",1
58,"('AEDO', 'BAEZA')",1
59,"('AEDO', 'JABRE')",1
60,"('AEDO', 'MAGNA')",1
61,"('AEDO', 'MONTECINOS')",1
62,"('AEDO', 'RIQUELME')",1
63,"('AELOISA', 'AZABACHE')",1
64,"('AGERO', 'VARGAS')",1
65,"('AGUAYO', 'GONZALEZ')",1
66,"('AGUAYO', 'RUBILAR')",1
67,"('AGUERO', 'OLIVARES')",1
68,"('AGUILA', 'BAZAN')",1
69,"('AGUILA', 'SCHWAGER')",1
70,"('AGUILAR', 'CAQUEO')",1
71,"('AGUILAR', 'CARRENO')",1
72,"('AGUILAR', 'DIAZ')",1
73,"('AGUILAR', 'FERNANDEZ')",1
74,"('AGUILAR', 'FU')",1
75,"('AGUILAR', 'HIDALGO')",2
76,"('AGUILAR', 'MALUENDA')",1
77,"('AGUILAR', 'MORALES')",1
78,"('AGUILAR', 'RIOS')",2
79,"('AGUILAR', 'ROQUE')",1
80,"('AGUILAR', 'SOTOMAYOR')",1
81,"('AGUILAR', 'TAPIA')",1
82,"('AGUILAR', 'VILLALOBOS')",1
83,"('AGUILERA', 'AGUILERA')",3
84,"('AGUILERA', 'ALTAMIRANO')",1
85,"('AGUILERA', 'BUTRON')",1
86,"('AGUILERA', 'CADIMA')",1
87,"('AGUILERA', 'CAMPOS')",1
88,"('AGUILERA', 'DELGADO')",1
89,"('AGUILERA', 'GAHONA')",1
90,"('AGUILERA', 'MANRIQUEZ')",1
91,"('AGUILERA', 'MUNOZ')",1
92,"('AGUILERA', 'PADILLA')",1
93,"('AGUILERA', 'PLAZA')",1
94,"('AGUILERA', 'SAUNERO')",1
95,"('AGUILERA', 'SEGURA')",1
96,"('AGUILERA', 'SOSA')",1
97,"('AGUIRRE', 'BERRIOS')",1
98,"('AGUIRRE', 'CARMONA')",1
99,"('AGUIRRE', 'CARO')",1
100,"('AGUIRRE', 'DIAZ')",1
101,"('AGUIRRE', 'DONOSO')",1
102,"('AGUIRRE', 'FERNANDEZ')",1
103,"('AGUIRRE', 'FIBLA')",1
104,"('AGUIRRE', 'FUNEZ')",2
105,"('AGUIRRE', 'HERRERA')",1
106,"('AGUIRRE', 'LAZO')",1
107,"('AGUIRRE', 'LEIVA')",1
108,"('AGUIRRE', 'LEON')",1
109,"('AGUIRRE', 'LOPEZ')",1
110,"('AGUIRRE', 'MEDINA')",1
111,"('AGUIRRE', 'MENDEZ')",1
112,"('AGUIRRE', 'MONTOYA')",1
113,"('AGUIRRE', 'NAVEAS')",1
114,"('AGUIRRE', 'OLIVA')",2
115,"('AGUIRRE', 'ORREGO')",1
116,"('AGUIRRE', 'OSSA')",1
117,"('AGUIRRE', 'PALOMINOS')",1
118,"('AGUIRRE', 'POZO')",1
119,"('AGUIRRE', 'REBOLLEDO')",1
120,"('AGUIRRE', 'RUIZ')",1
121,"('AGUIRRE', 'SCHLICK')",1
122,"('AGUIRRE', 'SILVA')",1
