,names,n
0,"('ABACA', 'ILLANES')",1
1,"('ABALLAY', 'ARAVENA')",1
2,"('ABALLAY', 'CISTERNAS')",1
3,"('ABALLAY', 'GONZALEZ')",2
4,"('ABALLAY', 'HUERTA')",1
5,"('ABALLAY', 'LEDEZMA')",1
6,"('ABALLAY', 'LEON')",2
7,"('ABALLAY', 'MARIN')",1
8,"('ABALLAY', 'MIRANDA')",1
9,"('ABALLAY', 'OYANEDEL')",1
10,"('ABALLAY', 'PEREZ')",1
11,"('ABALLAY', 'ROJAS')",1
12,"('ABALLAY', 'TAPIA')",2
13,"('ABALLAY', 'VIDAL')",1
14,"('ABALLAY', 'ZELAYA')",1
15,"('ABALO', 'HERRERA')",1
16,"('ABALOS', 'ALICERA')",1
17,"('ABALOS', 'GOMEZ')",1
18,"('ABALOS', 'SANHUEZA')",1
19,"('ABARA', 'CAUSSADE')",2
20,"('ABARCA', 'ABARCA')",10
21,"('ABARCA', 'ACUNA')",1
22,"('ABARCA', 'AGUIRRE')",3
23,"('ABARCA', 'ARANCIBIA')",5
24,"('ABARCA', 'AREVALO')",1
25,"('ABARCA', 'BARRAZA')",2
26,"('ABARCA', 'BARRIA')",1
27,"('ABARCA', 'BARRIOS')",1
28,"('ABARCA', 'BASAURE')",1
29,"('ABARCA', 'BEIZA')",2
30,"('ABARCA', 'BELTRAN')",1
31,"('ABARCA', 'BERRIOS')",2
32,"('ABARCA', 'BRIEBA')",1
33,"('ABARCA', 'BUSTAMANTE')",1
34,"('ABARCA', 'CABELLO')",1
35,"('ABARCA', 'CAMPOS')",1
36,"('ABARCA', 'CANO')",1
37,"('ABARCA', 'CARCAMO')",1
38,"('ABARCA', 'CARRILLO')",1
39,"('ABARCA', 'CARVAJAL')",1
40,"('ABARCA', 'CASTILLO')",3
41,"('ABARCA', 'CASTRO')",3
42,"('ABARCA', 'CATALAN')",2
43,"('ABARCA', 'CATALDO')",1
44,"('ABARCA', 'CERDA')",2
45,"('ABARCA', 'CHACON')",1
46,"('ABARCA', 'COFRE')",1
47,"('ABARCA', 'COLLAO')",1
48,"('ABARCA', 'CONTRERAS')",3
49,"('ABARCA', 'CORDOVA')",1
50,"('ABARCA', 'CORTES')",1
51,"('ABARCA', 'CRUZ')",1
52,"('ABARCA', 'CUEVAS')",1
53,"('ABARCA', 'DIAZ')",5
54,"('ABARCA', 'DONOSO')",4
55,"('ABARCA', 'DURAN')",1
56,"('ABARCA', 'ESPINOZA')",3
57,"('ABARCA', 'FARIAS')",2
58,"('ABARCA', 'FLORES')",1
59,"('ABARCA', 'FUENTEALBA')",1
60,"('ABARCA', 'GALLARDO')",1
61,"('ABARCA', 'GALLEGUILLOS')",2
62,"('ABARCA', 'GAMBOA')",1
63,"('ABARCA', 'GANNAT')",1
64,"('ABARCA', 'GARAY')",1
65,"('ABARCA', 'GARRIDO')",1
66,"('ABARCA', 'GODOY')",2
67,"('ABARCA', 'GONZALEZ')",8
68,"('ABARCA', 'GUALA')",1
69,"('ABARCA', 'GUTIERREZ')",10
70,"('ABARCA', 'HENRIQUEZ')",2
71,"('ABARCA', 'IBACETA')",2
72,"('ABARCA', 'ILUFI')",2
73,"('ABARCA', 'JARA')",1
74,"('ABARCA', 'JOFRE')",1
75,"('ABARCA', 'JORQUERA')",2
76,"('ABARCA', 'LABRA')",1
77,"('ABARCA', 'LANGE')",1
78,"('ABARCA', 'LATORRE')",1
79,"('ABARCA', 'LEIGHTON')",1
80,"('ABARCA', 'LEPE')",1
81,"('ABARCA', 'LLANOS')",1
82,"('ABARCA', 'LOPEZ')",3
83,"('ABARCA', 'LUCERO')",1
84,"('ABARCA', 'MACHUCA')",1
85,"('ABARCA', 'MARTINEZ')",6
86,"('ABARCA', 'MEDEL')",1
87,"('ABARCA', 'MENA')",3
88,"('ABARCA', 'MENDEZ')",1
89,"('ABARCA', 'MEZA')",1
90,"('ABARCA', 'MOLINA')",1
91,"('ABARCA', 'MORALES')",2
92,"('ABARCA', 'MORENO')",1
93,"('ABARCA', 'MOYA')",1
94,"('ABARCA', 'MUNOZ')",8
95,"('ABARCA', 'NARANJO')",1
96,"('ABARCA', 'NIELSEN')",1
97,"('ABARCA', 'NUNEZ')",1
98,"('ABARCA', 'OLAVARRIA')",1
99,"('ABARCA', 'OLIVARES')",1
100,"('ABARCA', 'OLIVEROS')",1
101,"('ABARCA', 'OTAZO')",1
102,"('ABARCA', 'OYARZUN')",2
103,"('ABARCA', 'PALACIOS')",1
104,"('ABARCA', 'PAREDES')",2
105,"('ABARCA', 'PAVEZ')",1
106,"('ABARCA', 'PEREZ')",2
107,"('ABARCA', 'PINILLA')",2
108,"('ABARCA', 'PINTO')",1
109,"('ABARCA', 'PLAZA')",4
110,"('ABARCA', 'PULGAR')",1
111,"('ABARCA', 'QUIROZ')",3
112,"('ABARCA', 'REYES')",1
113,"('ABARCA', 'RIQUELME')",3
114,"('ABARCA', 'RIVERA')",1
115,"('ABARCA', 'RODRIGUEZ')",3
116,"('ABARCA', 'ROJAS')",3
117,"('ABARCA', 'SAAVEDRA')",4
118,"('ABARCA', 'SAID')",1
119,"('ABARCA', 'SALINAS')",3
120,"('ABARCA', 'SEPULVEDA')",1
121,"('ABARCA', 'SILVA')",4
122,"('ABARCA', 'SOTO')",2
123,"('ABARCA', 'STEEMBECKER')",1
124,"('ABARCA', 'TIRAPEGUI')",1
125,"('ABARCA', 'TORO')",2
126,"('ABARCA', 'TRONCOSO')",1
127,"('ABARCA', 'UGUENO')",1
128,"('ABARCA', 'URRA')",1
129,"('ABARCA', 'VALENCIA')",1
130,"('ABARCA', 'VALENZUELA')",1
131,"('ABARCA', 'VELASQUEZ')",2
132,"('ABARCA', 'VENEGAS')",1
133,"('ABARCA', 'VERA')",6
134,"('ABARCA', 'VILLAGRA')",1
135,"('ABARCA', 'ZAPATA')",1
136,"('ABARCA', 'ZUNIGA')",2
137,"('ABARCIA', 'OSSANDON')",1
138,"('ABARZA', 'CASTILLO')",1
139,"('ABARZA', 'HERRERA')",1
140,"('ABARZA', 'MALDONADO')",1
141,"('ABARZA', 'MARCHANT')",1
142,"('ABARZA', 'QUILHOT')",1
143,"('ABARZA', 'TAPIA')",2
144,"('ABARZUA', 'BARRERA')",1
145,"('ABARZUA', 'MARTINEZ')",2
146,"('ABARZUA', 'PODESTA')",1
147,"('ABARZUA', 'QUEVEDO')",3
148,"('ABARZUA', 'QUIJADA')",1
149,"('ABARZUA', 'RUIZ')",1
150,"('ABARZUA', 'VALENCIA')",2
151,"('ABATTE', 'BERRIOS')",1
152,"('ABAYAY', 'MONTOYA')",1
153,"('ABAZOLA', 'CASTILLO')",1
154,"('ABD EL KADER', 'ESPINOZA')",1
155,"('ABDALA', 'ABURTO')",1
156,"('ABDALA', 'UGARTE')",3
157,"('ABDE', 'CARVAJAL')",2
158,"('ABELLA', 'BURGOS')",1
159,"('ABELLA', 'PEREZ')",1
160,"('ABELLO', 'GUERRA')",1
161,"('ABELLO', 'IBACETA')",1
162,"('ABELLO', 'QUEZADA')",1
163,"('ABETT DE LA TOR', 'RE CONTRERAS')",1
164,"('ABOAL', 'ANDRADE')",1
165,"('ABREU', 'ABREU')",1
166,"('ABRIGO', 'ALVAREZ')",1
167,"('ABRIGO', 'CACERES')",1
168,"('ABRIGO', 'JERIA')",1
