,names,n
0,"('ABAD', 'ACUNA')",1
1,"('ABAD', 'CAMPOS')",1
2,"('ABAD', 'LOBO')",2
3,"('ABAD', 'SALGADO')",1
4,"('ABALLAY', 'SALAZAR')",1
5,"('ABALLE', 'ARVINCULA')",1
6,"('ABARCA', 'GONZALEZ')",1
7,"('ABARCA', 'MEDINA')",2
8,"('ABARCA', 'SOLAR')",1
9,"('ABARCA', 'VALENZUELA')",1
10,"('ABARCA', 'VEGA')",3
11,"('ABARCA', 'WANDERSLEBEN')",1
12,"('ABAROA', 'BRIONES')",1
13,"('ABAROA', 'MERINO')",1
14,"('ABARSOA', 'URIBE')",1
15,"('ABARZUA', 'ABARZUA')",1
16,"('ABARZUA', 'ANABALON')",1
17,"('ABARZUA', 'BAEZA')",1
18,"('ABARZUA', 'CAMPOS')",1
19,"('ABARZUA', 'CAPRILLE')",1
20,"('ABARZUA', 'CASTILLO')",3
21,"('ABARZUA', 'CONTRERAS')",2
22,"('ABARZUA', 'DEL PINO')",1
23,"('ABARZUA', 'DIAZ')",1
24,"('ABARZUA', 'GALLARDO')",1
25,"('ABARZUA', 'GODOY')",1
26,"('ABARZUA', 'HENRIQUEZ')",1
27,"('ABARZUA', 'JARA')",1
28,"('ABARZUA', 'LEAL')",1
29,"('ABARZUA', 'MORALES')",1
30,"('ABARZUA', 'MORENO')",4
31,"('ABARZUA', 'MUNOZ')",1
32,"('ABARZUA', 'PALACIOS')",1
33,"('ABARZUA', 'RODRIGUEZ')",1
34,"('ABARZUA', 'ROJAS')",2
35,"('ABARZUA', 'SOTO')",2
36,"('ABARZUA', 'VASQUEZ')",1
37,"('ABARZUA', 'VIDAL')",2
38,"('ABASCAL', 'KLUG')",1
39,"('ABASOLO', 'ARAVENA')",1
40,"('ABASOLO', 'GALLEGOS')",1
41,"('ABASOLO', 'MANRIQUEZ')",1
42,"('ABASOLO', 'MENDOZA')",2
43,"('ABASOLO', 'URZUA')",1
44,"('ABATTO', 'FELMER')",2
45,"('ABATTO', 'SEGURA')",1
46,"('ABDALA', 'GUTIERREZ')",1
47,"('ABDALA', 'JURE')",1
48,"('ABDALA', 'MONTERO')",1
49,"('ABEDRAPO', 'RUIZ')",1
50,"('ABELLO', 'AGUILLON')",1
51,"('ABELLO', 'ARAVENA')",1
