,names,n
0,"('ABACA', 'BRAVO')",1
1,"('ABACA', 'CASTRO')",2
2,"('ABACA', 'ESPINOZA')",1
3,"('ABACA', 'FAUNDEZ')",1
4,"('ABACA', 'GUAJARDO')",1
5,"('ABACA', 'LABBE')",5
6,"('ABACA', 'MORALES')",2
7,"('ABACA', 'OLIVARES')",1
8,"('ABACA', 'ROJAS')",1
9,"('ABACA', 'ROMAN')",1
10,"('ABACA', 'VALENZUELA')",3
11,"('ABAD', 'GONZALEZ')",1
12,"('ABAD', 'GUERRA')",1
13,"('ABAD', 'MILLAN')",2
14,"('ABAD', 'ORDONEZ')",1
15,"('ABARA', 'DERAMOND')",1
16,"('ABARCA', 'CORVELEYN')",1
17,"('ABARCA', 'GALAZ')",1
18,"('ABARCA', 'GARRIDO')",1
19,"('ABARCA', 'GONZALEZ')",3
20,"('ABARCA', 'JEREZ')",3
21,"('ABARCA', 'MONTECINOS')",1
22,"('ABARCA', 'MORALES')",1
23,"('ABARCA', 'MUNOZ')",1
24,"('ABARCA', 'NILO')",1
25,"('ABARCA', 'REYES')",1
26,"('ABARCA', 'ROJAS')",3
27,"('ABARCA', 'ROMAN')",1
28,"('ABARCA', 'SALDANA')",1
29,"('ABARCA', 'SAZO')",1
30,"('ABARCA', 'SOTO')",1
31,"('ABARCA', 'TORO')",2
32,"('ABARCA', 'UGALDE')",1
33,"('ABARCA', 'URREA')",1
34,"('ABARCA', 'VALDES')",1
35,"('ABARCA', 'VALLADARES')",1
36,"('ABARCA', 'VIDAL')",1
37,"('ABARCA', 'VILLASECA')",2
38,"('ABARCA', 'ZUNIGA')",2
39,"('ABARZA', 'ARAYA')",2
40,"('ABARZA', 'ARELLANO')",1
41,"('ABARZA', 'BELMAR')",1
42,"('ABARZA', 'BERRIOS')",1
43,"('ABARZA', 'BRIONES')",1
44,"('ABARZA', 'CAMPOS')",1
45,"('ABARZA', 'CANCINO')",3
46,"('ABARZA', 'COFRE')",1
47,"('ABARZA', 'ESPINOZA')",3
48,"('ABARZA', 'FUENTES')",1
49,"('ABARZA', 'GARCIA')",2
